Quelle;GUID;Kategorie;Typ;Familie;Zusatzinfo;Menge;Einheit;Ebene;Schichtaufbau;Dicke_mm;Fläche_m2;Länge_m
racadvancedsampleproject;1832d549-62c0-44df-812c-b19e8965ded5-00023a4f;Tueren;0915 x 2134mm;M_Single-Flush-Dbl Acting;122;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;1832d549-62c0-44df-812c-b19e8965ded5-00023aae;Tueren;0915 x 2134mm;M_Single-Flush;124;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;1832d549-62c0-44df-812c-b19e8965ded5-00023ae8;Tueren;0915 x 2134mm 20 Minute Rated;M_Single-Flush;125;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;1832d549-62c0-44df-812c-b19e8965ded5-00023b6a;Tueren;1830 x 2134mm;M_Double-Flush;123;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;1832d549-62c0-44df-812c-b19e8965ded5-00023ba7;Tueren;0915 x 2134mm;M_Single-Flush;126;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;1832d549-62c0-44df-812c-b19e8965ded5-00023c33;Tueren;0915 x 2134mm;M_Single-Flush;129;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;1832d549-62c0-44df-812c-b19e8965ded5-00023c83;Tueren;0915 x 2134mm;M_Single-Flush;128;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;1832d549-62c0-44df-812c-b19e8965ded5-00023cd1;Tueren;0915 x 2134mm;M_Single-Flush;127;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;1832d549-62c0-44df-812c-b19e8965ded5-00023d35;Tueren;0915 x 2134mm;M_Single-Flush;130;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002417a;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;130A;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-000249a1;Tueren;1730 x 2134mm;M_Double-Flush;119A;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00024a12;Tueren;1730 x 2134mm 20 Minute Rated;M_Double-Flush;119B;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00024a89;Tueren;1730 x 2134mm 20 Minute Rated;M_Double-Flush;118;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00024b83;Tueren;0915 x 2134mm;M_Single-Flush;117;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00024bbd;Tueren;0915 x 2134mm;M_Single-Flush;116;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00024c38;Tueren;1830 x 2134mm;M_Double-Flush;115;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002502a;Tueren;M_Curtain Wall Sgl Glass;M_Curtain Wall Sgl Glass;114;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002533a;Tueren;0915 x 2134mm;M_Single-Flush;111;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002539c;Tueren;0915 x 2134mm 20 Minute Rated;M_Single-Flush;112;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-0002542e;Tueren;0915 x 2134mm;M_Single-Flush;110;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025470;Tueren;0915 x 2134mm;M_Single-Flush;109;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025b78;Tueren;0915 x 2134mm;M_Single-Flush;103;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025baa;Tueren;0915 x 2134mm;M_Single-Flush;104B;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025bd9;Tueren;0915 x 2134mm;M_Single-Flush;104A;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025c6b;Tueren;0915 x 2134mm;M_Single-Flush;105B;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025c98;Tueren;0915 x 2134mm;M_Single-Flush;105A;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025cc4;Tueren;0915 x 2134mm;M_Single-Flush;106B;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025cee;Tueren;0915 x 2134mm;M_Single-Flush;106A;1;Stk;01 - Entry Level;;;;
racadvancedsampleproject;9e597f98-694d-4ada-b8ef-0e7459e0b930-00025d22;Tueren;0915 x 2134mm;M_Single-Flush;108B;1;Stk;01 - Entry Level;;;;
