eBKP-H Code;Kostengruppe / Position;Kennwert Einheit;Kennwert tief CHF/Einheit;Kennwert mittel CHF/Einheit;Kennwert hoch CHF/Einheit;Anmerkungen
;;;;;;
A;GRUNDSTÜCK;;200;500;800;
A01;Grundstück, Baurecht;m² Grundfläche;200;500;800;Standortabhängig, Zürich höher
A01.01;Grundstückserwerb;m² Grundfläche;150;375;600;Regional stark variabel
A01.02;Baurechterwerb;m² Grundfläche;50;125;200;Je nach Vertragsdauer
A01.03;Bauwerkserwerb;m² Grundfläche;300;900;1500;Bestandsgebäude
A01.04;Perimeterbeitrag;m² Grundfläche;10;55;100;Je nach Kommune
A02;Nebenkosten Grundstück, Baurecht;% der Kosten A01;5;7.5;10;Gebühren, Makler, Notariat
A02.01;Handänderungssteuer, Gewinnsteuer;% der Kosten;3;4.5;6;Kantonsabhängig
A02.02;Notariatskosten;% der Kosten;0.5;0.75;1;Ca. 0.5-1% der Kaufsumme
A02.03;Grundbuchgebür;% der Kosten;0.1;0.225;0.35;Grundbucheintrag: 0.1% (ZH), bis 0.35% andere Kantone, min. 50-200 CHF
A02.04;Anwaltskosten, Gerichtskosten;Pauschal;1000;3000;5000;"bei Streitigkeiten; Standard Grundstückskauf: 500-1500 CHF"
A02.05;Vermittlungsprovision;% der Kaufpreis;2;2.5;3;Marklerprovision: Üblicherweise 2-3% des Verkaufpreises
A02.06;Abfindung, Servitut;Pauschal;2000;26000;50000;sehr variabel: von Rechteauslösung abhängig
A02.07;Vermessung, Vermarkung;Pauschal;2000;5000;8000;Feldmessergebühren für Neuaufnahme/Grenzfeststellung
;;;;;;
B;VORBEREITUNG;;50;100;150;
B01;Untersuchung, Aufnahme, Messung;% Gesamtbaukosten;0.5;1;1.5;Vorprojekt/Bauprojekt
B01.01;Baugrunduntersuchung;m² Grundfläche;5;12.5;20;Bohrkerne, Labortests
B01.02;Bestandsaufnahme;m² Grundfläche;2;5;8;Bestandsvermessung
B01.03;Umweltmessung;Pauschal;2000;6000;10000;Schadstoffuntersuchung
B01.04;Überwachung;;;;;
B02;Baustelleinrichtung;% der Kosten;3;5.5;8;Zäune, Büros, Lagerplatz
B02.01;Baustellenerschliessung;m² Nutzfläche;10;20;30;Zufahrten, Abstellplätze
B02.02;Versorgung, Entsorgung;Pauschal;5000;12500;20000;Wasser, Strom, Abfall
B02.03;Arbeitsraum, Aufenthaltsraum;m² Baustelle;5;10;15;Container, WC-Anlagen
B02.04;Hebe-,  Verlade-, Transport-, Lagereinrichtung;Pauschal;10000;30000;50000;Kräne, Aufzüge, Lagerplätze
B02.05;Einrichtung für Materialaufbereitung;m² Baustelle;3000;9000;15000;Betonmischplatz, Schalungslager, Werkstatt
B02.06;Witterungsbedingte Baumassnahme;% Baukosten;2;3.5;5;Schutzbauten, Dächer, Wärmung
B02.07;Baustellenorganisation, Sicherheit;% Baukosten;2;3;4;PSA, Signalisation, Absperrungen, Koordination
B02.08;Schutzmassnahme für Umgebung;% Baukosten;1;2;3;Staubschutz, Lärmschutz, Verkehrsregelung
B03;Provisorium;Stück;300;600;900;
B03.01;Provisorisches Rückhaltesystem;Stück;200;500;800;Retentionsbecken, mobile Absetzbecken, Versickerungsanlagen
B03.02;Provisiorische Werkleitung;m Laufmeter;50;175;300;
B03.03;Provisorisches Gebäude;m²;200;500;800;Container, Büros, Lagerzelte, Wohncontainer
B03.04;Provisorische Verkehrsanlage;m Laufmeter;100;300;500;Zufahrten, Überbrückungen, Rampen, Parkplätze
B03.05;Provisorischer Ausbau, Ausstattung;m²;50;175;300;Innenausstattung Container, Mobiliar, sanitäre Anlagen
B04;Erschliessung durch Werkleitungen;m Laufmeter;200;600;1000;
B04.01;Starkstromleitung;m Laufmeter;300;750;1200;"0,4 bis 30kV; Tiefbau + Material + Montage; je anch Durchmesser und Schwierigkeit"
B04.02;Schwachstromleitung;m Laufmeter;100;250;400;"Telefon, Datenleitung, Glasfaser; niedrige Kosten als Starkstrom"
B04.03;Fernwärmeleitung;m Laufmeter;500;1000;1500;"Doppelrohr mit Isolierung; CHF 500/m (einfach) bis CHF 1500/m (komplex); inkl. Erdarbeiten"
B04.04;Fernkälteleitung;m Laufmeter;600;1200;1800;Ähnlich Fernwärme, oft höhere Anforderungen an Isolierung und Dichtheit
B04.05;Wasserleitung;m Laufmeter;200;500;800;"DN 50-300; CHF 200-450/m (kleine) bis CHF 800-1200/m (grosse Rohre); je anch Durchmesser"
B04.06;Schmutzwasserleitung;m Laufmeter;300;650;1000;"Kanalisation; CHF 300-600/m (DN 150-300) bis CHF 1000/m (grosse Profile); Tiefbau + Schächte"
B04.07;Regenwasserleitung;m Laufmeter;250;525;800;"Ähnlich Schmutzwasser, oft etwas günstiger; DN 100-600"
B04.08;Gasleitung;m Laufmeter;150;375;600;"Niederdruckleitung; einfache Installation; CHF 150-300/m (standard) bis CHF 600/m (Hochdruckleitung)"
B05;Rodung, Rückbau;;;;;
B05.01;Fällung, Rodung, Umpflanzung;m² Grundfläche;50;125;200;Rodung / Umpflanzung CHF 50-200/m² Fläche
B05.02;Nicht kontaminierter Rückbau;m3 Abbruchmaterial;20;30;40;"Abriss ohne Schadstoffe; Entsorgung Bauabfall"
B05.03;Kontaminierter Rückbau;m3 Abbruchmaterial;100;200;300;Asbest-Entsorgung, spezielle Handhabung erforderlich
B06;Baugrube;;;;;
B06.01;Nicht kontaminierter Aushub;m3 Aushubmaterial;50;75;100;"Aushub CHF 15-15/m3 + Entsorgung/Transport CHF 35-55/m3; normal belasteter Boden"
B06.02;Kontaminierter Aushub;m3 Aushubmaterial;150;225;300;"Bodenbelastete Materialien; spezielle Entsorgung CHF 100-200/m3 zuzüglich Aushub"
B06.03;Böschungssicherung;m² Böschungsfläche;50;175;300;Filtergeotextil/Kunststofffolie CHF 50-100/m²
B06.04;Baugrubenabschluss;m Perimeter;100;250;400;Fgrubenbegrenzung, Absperrung, Sicherheit
B06.05;Materialeinbau;m3 Schüttung;50;75;100;"Aufschüttung, Verdichtung, Einebnung; CHF 50-70/m3 Material + Verdichtung"
B06.06;Wasserhaltung;Pauschal;5000;17500;30000;Oberflächenentwässerung, Grundwasserhaltung mit Pumpen, Sicherleitungen, Entwässerungsgräben
B07;Baugrundverbesserung, Bauwerkssicherung;;;;;
B07.01;Verbesserung Baugrund;m²;100;250;400;Bodenverdichtung, Austausch, Kalkstabilisierung
B07.02;Pfählung;m Pfahllänge;800;1900;3000;"Rammpfähle CHF 800-2000/m; nach Grösse / Tragfähigkeit"
B07.03;Unterfangung Bauwerk;m Laufmeter;1500;2750;4000;Fundamentunterfangung mit Micro-Piles, Betoninjektionen
B07.04;Sicherung Bauwerk;m;500;1250;2000;"Stützwände, Abstützungen, provisorischer Verbau, Bracing-Systeme; abhängig vom Bauwerk-Typ"
B08;Gerüst;m² Gerüstfläche;15;20;25;Miete + Auf-/Abbau
B08.01;Fassadengerüst;m² Gerüstfläche;12;16;20;Standard Fassadengerüst (LK 3-4)
B08.02;Arbeitsgerüst;m² Gerüstfläche;10;14;18;"Leichte bis mittlere Arbeiten; günstiger als Fassadengerüst"
