Quelle;GUID;Kategorie;Typ;Familie;Zusatzinfo;Menge;Einheit;Ebene;Schichtaufbau;Dicke_mm;Fläche_m2;Länge_m;BKP_Code;BKP_Beschreibung;KI_Konfidenz
Snowdon Towers Sample Architectural;18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a27a;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S10;1.0;Stk;Parking;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a2c9;Tueren;"36"" x 84""";Door-Passage-Single-Flush;S11A;1.0;Stk;L1 - Block 35;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a323;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S14;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a385;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S13;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a38a;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S15;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;07d0ca4c-a584-42fc-98d1-57aee4729535-000a13ca;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S30;1.0;Stk;Parking;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;07d0ca4c-a584-42fc-98d1-57aee4729535-000a13cc;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S32;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;07d0ca4c-a584-42fc-98d1-57aee4729535-000a13cd;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S34;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;07d0ca4c-a584-42fc-98d1-57aee4729535-000a13ce;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S33;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;07d0ca4c-a584-42fc-98d1-57aee4729535-000a13cf;Tueren;"36"" x 84"" (180 MIN)";Door-Passage-Single-Flush;S35;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;717ca888-caa1-4d79-a802-1815f215117a-000a58cd;Tueren;"36"" x 84"" (Exterior)";Door-Passage-Single-Flush;109D;1.0;Stk;L1 - Block 43;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;3626bed5-2394-4429-acf0-1d584c5ed516-000b5536;Tueren;"36"" x 96""";Door-Passage-Single-Flush-Dbl_Acting;102B;1.0;Stk;L1 - Block 35;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;3626bed5-2394-4429-acf0-1d584c5ed516-000b55ad;Tueren;"42"" x 96"" (Exterior)";Door-Passage-Single-Flush;102A;1.0;Stk;L1 - Block 35;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;3626bed5-2394-4429-acf0-1d584c5ed516-000b5b96;Tueren;"36"" x 84"" (90 MIN)";Door-Passage-Single-Two_Lite;101D;1.0;Stk;L1 - Block 35;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;f671d00b-afe0-4235-80b7-cfe899bb5fb6-000b6075;Tueren;"36"" x 96""";Door-Passage-Single-Flush;107B;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;f671d00b-afe0-4235-80b7-cfe899bb5fb6-000b6163;Tueren;"36"" x 96"" (Exterior)";Door-Passage-Single-Flush;105C;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;f671d00b-afe0-4235-80b7-cfe899bb5fb6-000b6187;Tueren;"36"" x 96"" (Exterior)";Door-Passage-Single-Flush;107C;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;f671d00b-afe0-4235-80b7-cfe899bb5fb6-000b61eb;Tueren;"36"" x 96"" (Exterior)";Door-Passage-Single-Flush;108E;1.0;Stk;L1 - Block 37;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;3147f156-b90b-4390-99a7-3e9151cbdba3-000b97df;Tueren;"36"" x 84"" (Roof)";Door-Passage-Single-Flush;S16;1.0;Stk;R2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;15595a49-d2b6-4a00-8c24-e256f5197dbb-000b98f5;Tueren;"36"" x 84"" (90 MIN)";Door-Passage-Single-Flush;301B;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;1400f7c0-e069-4954-9d8d-4151ef4f675d-000b99cc;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;507B;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;1400f7c0-e069-4954-9d8d-4151ef4f675d-000bc1b9;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;303A;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;88a4e542-5134-43c6-8a51-272693a47893-000bfd8f;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;303B;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;88a4e542-5134-43c6-8a51-272693a47893-000bfe28;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;202A;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;88a4e542-5134-43c6-8a51-272693a47893-000bff94;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;403A;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c00a6;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;205A;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0160;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;202B;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c01a5;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;205B;1.0;Stk;L2;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0281;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;306B;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c02b2;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;407B;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0302;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;307A;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0333;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;408A;1.0;Stk;L4;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0364;Tueren;"36"" x 84"" (Cores)";Door-Passage-Single-Flush;506B;1.0;Stk;L5;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0545;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;307C;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
Snowdon Towers Sample Architectural;c2074c86-4f71-4891-b420-05ffb69fa016-000c0546;Tueren;"36"" x 84"" (60 MIN)";Door-Passage-Single-Flush;306A;1.0;Stk;L3;;;;;J;Ausstattung Gebäude;0.9
