Quelle;GUID;Kategorie;Typ;Familie;Zusatzinfo;Menge;Einheit;Ebene;Schichtaufbau;Dicke_mm;Fl�che_m2;L�nge_m
ARC_Umbau_TRP-T4;0546f683-7a7a-45cd-b582-e19319c291ff-001a2ae0;Tueren;2000 x 2100mm;M_Door-Passage-Double-Flush;101;1;Stk;B;;;;
ARC_Umbau_TRP-T4;06757a82-5841-4193-b3b5-34af08e84426-001af315;Tueren;WC Tür;Door-Single-Panel;108;1;Stk;D;;;;
ARC_Umbau_TRP-T4;06757a82-5841-4193-b3b5-34af08e84426-001af7e5;Tueren;WC Tür;Door-Single-Panel;114;1;Stk;D;;;;
ARC_Umbau_TRP-T4;06757a82-5841-4193-b3b5-34af08e84426-001af831;Tueren;WC Tür Rollstuhl;Door-Single-Panel;115;1;Stk;D;;;;
ARC_Umbau_TRP-T4;0d074a64-7c38-4772-8936-6efc228c2487-001af8b7;Tueren;WC Tür;Door-Single-Panel;116;1;Stk;D;;;;
ARC_Umbau_TRP-T4;0d074a64-7c38-4772-8936-6efc228c2487-001af905;Tueren;WC Tür;Door-Single-Panel;117;1;Stk;D;;;;
ARC_Umbau_TRP-T4;96c8cc2f-6d01-4969-aedc-d5b38f0cf10c-001b13b6;Tueren;Door-Curtain-Wall-Double-Storefront;Door-Curtain-Wall-Double-Storefront;;1;Stk;D;;;;
ARC_Umbau_TRP-T4;96c8cc2f-6d01-4969-aedc-d5b38f0cf10c-001b1698;Tueren;Door-Curtain-Wall-Double-Storefront;Door-Curtain-Wall-Double-Storefront;122;1;Stk;E;;;;
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b183a;Tueren;2000 x 2100mm;M_Door-Passage-Double-Flush;125;1;Stk;B;;;;
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b18b7;Tueren;2000 x 2100mm;M_Door-Passage-Double-Flush;126;1;Stk;B;;;;
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b192a;Tueren;800 x 2100mm;M_Door-Passage-Single-Flush;127;1;Stk;B;;;;
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b1a25;Tueren;1200 x 1900mm;M_Door-Passage-Single-Flush;128;1;Stk;B;;;;
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c5f;Tueren;WC Tür;Door-Single-Panel;130;1;Stk;E;;;;
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c60;Tueren;WC Tür;Door-Single-Panel;131;1;Stk;E;;;;
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c61;Tueren;WC Tür Rollstuhl;Door-Single-Panel;132;1;Stk;E;;;;
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c62;Tueren;WC Tür;Door-Single-Panel;133;1;Stk;E;;;;
ARC_Umbau_TRP-T4;2fb5e263-2312-4e53-895d-31ea75409d04-001b2c63;Tueren;WC Tür;Door-Single-Panel;134;1;Stk;E;;;;
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b39ac;Tueren;WC Tür;Door-Single-Panel;138;1;Stk;F;;;;
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b39ad;Tueren;WC Tür;Door-Single-Panel;139;1;Stk;F;;;;
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b39f3;Tueren;800 x 2100mm;M_Door-Passage-Single-Flush;102;1;Stk;D;;;;
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b39f4;Tueren;800 x 2100mm;M_Door-Passage-Single-Flush;104;1;Stk;D;;;;
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b39f5;Tueren;2000 x 2100mm;M_Door-Passage-Double-Flush;124;1;Stk;D;;;;
ARC_Umbau_TRP-T4;0e406907-8b57-450d-ba49-8c17cf6dfb95-001b4762;Tueren;800 x 2100mm;M_Door-Passage-Single-Flush;140;1;Stk;E;;;;
ARC_Umbau_TRP-T4;0e406907-8b57-450d-ba49-8c17cf6dfb95-001b4763;Tueren;800 x 2100mm;M_Door-Passage-Single-Flush;141;1;Stk;E;;;;
ARC_Umbau_TRP-T4;0e406907-8b57-450d-ba49-8c17cf6dfb95-001b47b6;Tueren;800 x 2100mm;M_Door-Passage-Single-Flush;146;1;Stk;F;;;;
