Code,Description,Level
A,Grundstück,1
A01,"Grundstück, Baurecht",2
A01.01,Grundstückserwerb,3
A01.01.000,Grundstückserwerb,4
A01.01.000.000,Grundstückserwerb,5
A01.01.001,Erwerb Grundstück Stadt,4
A01.01.002,Erwerb Grundstück Agglomeration,4
A01.01.003,Erwerb Grundstück Land,4
A01.02,Baurechtserwerb,3
A01.02.000,Baurechtserwerb,4
A01.02.000.000,Baurechtserwerb,5
A01.02.000.001,Baurechtskosten,5
A01.02.000.002,Baurechtszins,5
A01.02.001,Baurecht Stadt,4
A01.02.001.001,Baurechtskosten,5
A01.02.001.002,Baurechtszins,5
A01.02.002,Baurecht Agglomeration,4
A01.02.002.001,Baurechtskosten,5
A01.02.002.002,Baurechtszins,5
A01.02.003,Baurecht Land,4
A01.02.003.001,Baurechtskosten,5
A01.02.003.002,Baurechtszins,5
A01.03,Bauwerkserwerb,3
A01.03.000,Bauwerkserwerb,4
A01.03.000.000,Bauwerkserwerb,5
A01.03.001,Erwerb Bauwerk,4
A01.03.002,Erwerb Bauteil,4
A01.03.003,Einkauf Brandmauer,4
A01.03.004,Einkauf Quellfassung,4
A01.04,Perimeterbeitrag,3
A01.04.000,Perimeterbeitrag,4
A01.04.000.000,Perimeterbeitrag,5
A01.04.001,Perimeterbeitrag öffentliche Hand,4
A01.04.002,Perimeterbeitrag Private,4
A01.04.003,Rückvergütung Erschliessungskosten,4
A02,"Nebenkosten zu Grundstück, Baurecht",2
A02.01,"Handänderungssteuer, Gewinnsteuer",3
A02.01.000,"Handänderungssteuer, Gewinnsteuer",4
A02.01.000.000,"Handänderungssteuer, Gewinnsteuer",5
A02.01.001,Handänderungssteuer,4
A02.01.002,Grundstückgewinnsteuer,4
A02.01.003,Mehrwertabschöpfung,4
A02.02,Notariatskosten,3
A02.03,Grundbuchgebühr,3
A02.04,"Anwaltskosten, Gerichtskosten",3
A02.04.000,"Anwaltskosten, Gerichtskosten",4
A02.04.000.000,"Anwaltskosten, Gerichtskosten",5
A02.04.001,Anwaltskosten,4
A02.04.002,Gerichtskosten,4
A02.05,Vermittlungsprovision,3
A02.05.000,Vermittlungsprovision,4
A02.05.000.000,Vermittlungsprovision,5
A02.05.001,Vermittlungsprovision Grundstück,4
A02.05.002,Vermittlungsprovision Baurecht,4
A02.05.003,Vermittlungsprovision Anlage,4
A02.06,"Abfindung, Servitut",3
A02.06.000,"Abfindung, Servitut",4
A02.06.000.000,"Abfindung, Servitut",5
A02.06.000.001,Abfindung für bestehende Mietverträge,5
A02.06.000.002,Abfindung für bestehende Pachtverträge,5
A02.06.000.003,Abfindung für bestehende Nutzungsrechte,5
A02.06.000.004,Kosten für Ersatzmassnahmen,5
A02.06.000.005,Recht Dritter auf Überbauung,5
A02.06.000.006,Last Dritter auf Überbauung,5
A02.06.000.007,Nutzungsbeschränkung,5
A02.06.000.008,Inkonvenienzentschädigungen,5
A02.06.000.009,Errichtung von Servituten,5
A02.06.000.010,Ablösung von Servituten,5
A02.06.000.011,Wirtschaftspatente,5
A02.06.000.012,Beiträge Melioration,5
A02.06.000.013,Beiträge Güterzusammenlegung,5
A02.06.001,Abfindungen,4
A02.06.001.001,Abfindung für bestehende Mietverträge,5
A02.06.001.002,Abfindung für bestehende Pachtverträge,5
A02.06.001.003,Abfindung für bestehende Nutzungsrechte,5
A02.06.001.004,Kosten für Ersatzmassnahmen,5
A02.06.002,Servitute,4
A02.06.002.004,Kosten für Ersatzmassnahmen,5
A02.06.002.005,Recht Dritter auf Überbauung,5
A02.06.002.006,Last Dritter auf Überbauung,5
A02.06.002.007,Nutzungsbeschränkung,5
A02.06.002.009,Errichtung von Servituten,5
A02.06.002.010,Ablösung von Servituten,5
A02.07,"Vermessung, Vermarkung",3
A02.07.000,"Vermessung, Vermarkung",4
A02.07.000.000,"Vermessung, Vermarkung",5
A02.07.000.001,Standardaufnahme,5
A02.07.000.002,Laseraufnahme,5
A02.07.000.003,Aufnahme mit Drohne,5
A02.07.001,Vermessung,4
A02.07.001.001,Standardaufnahme,5
A02.07.001.002,Laseraufnahme,5
A02.07.001.003,Aufnahme mit Drohne,5
A02.07.002,Vermarkung,4
A02.07.002.001,Standardaufnahme,5
A02.07.002.002,Laseraufnahme,5
A02.07.002.003,Aufnahme mit Drohne,5
A02.07.003,Parzellierung ,4
A02.07.003.001,Standardaufnahme,5
A02.07.003.002,Laseraufnahme,5
A02.07.003.003,Aufnahme mit Drohne,5
B,Vorbereitung,1
B01,"Untersuchung, Aufnahme, Messung",2
B01.01,Baugrunduntersuchung,3
B01.01.000,Baugrunduntersuchung,4
B01.01.000.000,Baugrunduntersuchung,5
B01.01.000.001,Sondierung,5
